# UA-GEC v2 F/Calque lookup derived from https://github.com/grammarly/ua-gec; license: CC-BY-4.0.
# Attribution: Syvokon et al., UNLP 2023. Rows are lowercased, stripped pairs with frequency >= 2.
bad,good,error_type,frequency,source,license,attribution
дозволяє,дає змогу,F/Calque,13,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
доктор,лікар,F/Calque,12,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
докторе,лікарю,F/Calque,11,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
гуся,гусака,F/Calque,9,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
даний,цей,F/Calque,9,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
задачі,завдання,F/Calque,9,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вірно,правильно,F/Calque,8,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
даній,цій,F/Calque,8,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
наступні,такі,F/Calque,8,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
гусь,гусак,F/Calque,7,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
доктор,лікарю,F/Calque,7,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
задача,завдання,F/Calque,7,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
шляпу,капелюха,F/Calque,7,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
все,дедалі,F/Calque,6,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
передній,передпокої,F/Calque,6,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
підписників,читачів,F/Calque,6,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
даному,цьому,F/Calque,5,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
