path	mode	blob	size	class	group	reason	judgment
data/authors_rights.yaml	100644	93814f33939604331b786922f7f035192adf1449	7909	K	reference_inputs	authored rights record	rule
data/canonical_anchors.yaml	100644	1436cb0006397eb63f8fbf7bd3524ea21aa6cee0	16067	K	reference_inputs	frozen canonical anchor input	rule
data/corpus_audit/coverage_map.json	100644	a4ca1539b9fd2084349a861b4fce652dbc23a4d2	254528	A	corpus_audit_snapshots	external; regenerable with corpus snapshot and audit tooling	rule
data/corpus_audit/draft_tickets/blocker-cases-and-declension-lavrynets-morfemika-slovotvir-morfolohiia.md	100644	6e03875b5d4dfbf025954e995ff92400fd54d285	2017	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-cases-and-declension-ukrainian-pravopys-2019.md	100644	e262598493d4fa75001c94e8f0027bc32f7f5506	1861	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-everyday-scenarios-and-lexical-formulas-doroz-metodyka-navchannia-ukrainskoi-movy.md	100644	15cbee07ab7fe206e743d21448bca0bb12d7eed5	1954	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-everyday-scenarios-and-lexical-formulas-palinska-turkevych-krok-1.md	100644	31c6ad9e523f45f6a568a6bd4ef537d6fa36d83e	2078	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-phonetics-and-orthoepy-mosenkis-leksykolohiia-fonetyka.md	100644	2e4bc3cf014a66889ab26b21487b1848f021dad9	1913	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-phonetics-and-orthoepy-ukrainian-pravopys-2019.md	100644	9354c137e7e2c6e98bae813892301f809080c12e	1845	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-speech-formulas-and-etiquette-antonenko-davydovych-yak-my-hovorymo.md	100644	5616e0fe54d07d32b08b0ec3cfb27f0467304819	1868	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-speech-formulas-and-etiquette-ponomariv-suchasna-ukrainska-mova.md	100644	4d6abd4098037409b71d1f72643365b14aa67f91	1705	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-syntax-and-word-order-ponomariv-suchasna-ukrainska-mova.md	100644	de8ffd3a055578fdff89c427bc3ef40110b9d774	1693	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-syntax-and-word-order-tsilyna-syntaksys-skladnoho-rechennia.md	100644	03d0ea9b4c6524a0a9aef75bf1baf393525b0e07	1941	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-verbs-aspect-and-tense-lavrynets-morfemika-slovotvir-morfolohiia.md	100644	cb0dec3eb5effc5be734421345affe8fd406f626	2021	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/draft_tickets/blocker-verbs-aspect-and-tense-ukrainian-pravopys-2019.md	100644	decaf8c26ec3ebb04fc51a2dc7afa4edb8ac1f22	1865	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/gap_categories.md	100644	1cf71b0f939e02274b13cfadca12c1a65354fc54	3323	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/ingestion_roadmap.md	100644	3d0943ce4b2c032a38da5c286794ff498020506c	4983	K	corpus_audit_controls	authored audit plan catalog or decision	rule
data/corpus_audit/navsi200-asr-bakeoff-ledger.json	100644	56f995b19593dea8bdc97849adb68738c38c5722	74281	A	corpus_audit_snapshots	external; regenerable with source corpus and audit tooling	rule
data/corpus_audit/navsi200-captions-ledger.json	100644	1797b54ec0511311f9f26d8caac12b1969118119	120282	A	corpus_audit_snapshots	external; regenerable with source corpus and audit tooling	rule
data/corpus_audit/navsi200-catalog.json	100644	4d297924ce22192064fe920d81a9e938061b08e8	281439	K	corpus_audit_controls	frozen scraped snapshot, no committed producer	judgment
